VNDNBR,VndCode,VNDNAME,VNDTYPE,INV_YEAR, INVPAYAMT , INV_AMOUNT ,DPTNBR,DIV,DEPT,DEPT_CODE
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  41,339.01 ",21310,02,10,0210
C8002134,8002134,เชียงใหม่ เฮิร์บส์ เทรดดิ้ง บจก. Capex (BJMP),CAPEX,2023,"  1,341,672.81 ","  712,920.00 ",21840,06,20,0620
M0100007,0100007,กรีนแลนด์มาร์เก็ตติ้ง บจก.,FOOD-MERCHANDISE,2023,"  23,473,056.25 ","  21,937,435.67 ",21620,04,20,0420
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,"  24,392,708.65 ","  22,749,959.97 ",21330,02,30,0230
M0101205,0101205,กลุ่มเกษตรมาร์เก็ตติ้ง บจก.,FOOD-MERCHANDISE,2023,"  51,073,525.00 ","  51,073,525.00 ",21630,04,30,0430
M0400050,0400050,เค.ที.วาย. ฟู๊ด อินเตอร์เนชั่นแนล บจก.,FOOD-MERCHANDISE,2023,"  39,431,533.42 ","  36,851,900.40 ",21610,04,10,0410
M0400124,0400124,โคฟี่ บจก.,FOOD-MERCHANDISE,2023,"  5,694,900.35 ","  5,322,336.78 ",21640,04,40,0440
M0400579,0400579,แคปปิตัล เทรดดิ้ง บจก.,FOOD-MERCHANDISE,2023,"  14,714,043.05 ","  13,751,442.07 ",21620,04,20,0420
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  90,700.99 ","  57,792.00 ",21662,04,62,0462
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,  -   ,  -   ,21790,05,70,0570
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  86,692.47 ",  -   ,21630,04,30,0430
M0400039,0400039,คอลเกต-ปาล์มโอลีฟ (ประเทศไทย) บจก.,FOOD-MERCHANDISE,2023,"  840,411,049.51 ","  785,170,621.10 ",21660,04,60,0460
M0400566,0400566,คิมเบอร์ลี่ย์-คล๊าค ประเทศไทย บจก. (DF),FOOD-MERCHANDISE,2023,"  380,665,266.00 ","  354,833,359.49 ",21672,04,72,0472
M0100240,0100240,กรไทย  บจก.,FOOD-MERCHANDISE,2023,"  2,070,891.95 ","  1,932,480.00 ",21630,04,30,0430
M0100296,0100296,กรุงเทพวิทยา (1988) บจก.,NONFOOD-MERCHANDISE,2023,"  814,611.33 ","  761,319.00 ",21350,02,50,0250
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  1,177,643.72 ","  834,536.74 ",21661,04,61,0461
M0101006,0101006,แกรนด์ไลท์ เอ็นเตอร์ไพรส์ บจก. (HL),NONFOOD-MERCHANDISE,2023,"  20,710,590.09 ","  19,345,633.86 ",21510,01,10,0110
M0400068,0400068,ควีนโปรดักส์  บจก.,FOOD-MERCHANDISE,2023,"  5,084,274.06 ","  4,751,658.00 ",21640,04,40,0440
M0400354,0400354,คอฟฟี่ เซลส์ บจก. (1),FOOD-MERCHANDISE,2023,"  90,603,184.24 ","  84,675,873.23 ",21610,04,10,0410
M0100126,0100126,มิตซูบิชิ อีเล็คทริค กันยงวัฒนา บจก.,NONFOOD-MERCHANDISE,2023,"  268,328,746.03 ","  250,774,529.00 ",21512,01,12,0112
M0100385,0100385,กิจไกร อิมปอร์ต-เอ็กซ์ปอร์ต หจก. (Old),NONFOOD-MERCHANDISE,2023,"  1,530,394.25 ","  1,430,275.00 ",21240,03,40,0340
M0100556,0100556,ก๊กเลี้ยงฟาร์มาซี หจก..,FOOD-MERCHANDISE,2023,"  14,108,557.05 ","  13,164,523.10 ",21660,04,60,0460
M0101084,0101084,กีโต้ (ประเทศไทย) บจก.,NONFOOD-MERCHANDISE,2023,"  18,515,058.42 ","  17,303,792.93 ",21250,03,50,0350
M0400798,0400798,เค.เอ็ม.จี.การ์เม้นท์ บจก.,NONFOOD-MERCHANDISE,2023,"  13,662,015.73 ","  12,768,239.00 ",21110,03,80,0380
M0400799,0400799,เคไอเจ มาร์เก็ตติ้ง บจก.,NONFOOD-MERCHANDISE,2023,"  4,242,779.54 ","  3,965,214.56 ",21310,02,10,0210
M0400737,0400737,เค.ที.แอล.มาร์เก็ตติ้ง  บจก.,NONFOOD-MERCHANDISE,2023,"  4,636,192.80 ","  4,332,890.45 ",21310,02,10,0210
M0400742,0400742,เค.แอนด์เอ็น ฟู้ดส์ บจก.,FOOD-MERCHANDISE,2023,"  3,970,691.00 ","  3,710,926.11 ",21740,05,40,0540
M0800096,0800096,จอมธนา บจก.,FOOD-MERCHANDISE,2023,"  14,921,060.22 ","  13,944,916.07 ",21790,05,70,0570
M0800626,0800626,เจริญชัยราชดำริ บจก...,NONFOOD-MERCHANDISE,2023,"  6,152,818.86 ","  5,750,298.00 ",21310,02,10,0210
