TRXNBR,TRXDT,SUP_CODE,CUSTNAME,REFERENCE,Year,REF_TYPE,DESCRIPTION, EXTENDED_AMOUNT ,DESC2,DESC3,CC,DPTNBR
121010013309188,1/19/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MARB000460-HO,2023,ARB,Rebate,"  2,244.12 ",Unconditional Rebate,NULL,21760,0560
121010013324908,1/26/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MARB001003-HO,2023,ARB,Rebate,"  1,186.08 ",Unconditional Rebate,NULL,21760,0560
121010013335453,2/10/2023,1000310,ชัยชนะมาเก็ตติ้ง,A1D05-MANI000134-HO,2023,ANI,ส่วนลดพิเศษ,"  70,000.00 ",Anniversary,Anniversary,21760,0560
121010013349963,2/16/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MNRT000660-HO,2023,NRT,ส่วนลดไม่คืนสินค้า,  92.30 ,Non Return Discount,NULL,21760,0560
121010013353504,2/23/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MOTS000482-HO,2023,OTS,Sale Promotion Income,  290.52 ,Other Promotion Service,NULL,21760,0560
121010013342090,2/11/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MCOF000262-HO,2023,COF,รายการส่งเสริมการขาย,  39.45 ,Cooperate Coupons Support,NULL,21760,0560
121010013342091,2/11/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MNRT000503-HO,2023,NRT,ส่วนลดไม่คืนสินค้า,  47.34 ,Non Return Discount,NULL,21760,0560
121010013349962,2/16/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MCOF000341-HO,2023,COF,รายการส่งเสริมการขาย,  76.92 ,Cooperate Coupons Support,NULL,21760,0560
121010013353503,2/23/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MNRT000794-HO,2023,NRT,ส่วนลดไม่คืนสินค้า,  96.84 ,Non Return Discount,NULL,21760,0560
121010013309189,1/19/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MCOF000011-HO,2023,COF,รายการส่งเสริมการขาย,  140.26 ,Cooperate Coupons Support,NULL,21760,0560
121010013324909,1/26/2023,1000310,ชัยชนะมาเก็ตติ้ง,P1D05-MCOF000088-HO,2023,COF,รายการส่งเสริมการขาย,  74.13 ,Cooperate Coupons Support,NULL,21760,0560
